,classe,text
0,classe,
1,الإقتصاد-علوم اجتماعية,جديد شرك دعم سداد كامل مال داءن مستحق نخيل مفاوض دي مجموع مء صندوق مقترح امار حكوم اعمال باقرب اختصارا 
2,الإقتصاد-علوم اجتماعية,دي اسواق اتحاد مساعد صندوق دول اعمال مال اذار وتمثل قاءلا اخر اجمال عالم صارم بروكسل سعر قدر عملتنا صرف 
3,الإقتصاد-علوم اجتماعية,دول اسواق اخر دي مساعد يون اوروب اعمال اقتصاد فاينانشيال وتمثل تسء جميعا عمل تحديث اقناع توصل بصفق ارتفاعا مقبول 
4,الإقتصاد-علوم اجتماعية,تفاصيل سجن امريك متهم حكم انظم بنك متحده مخبرا لملا سيار راديو اخر جونزاليس بارسال روس برايك ثمين سرق عمر 
5,الإقتصاد-علوم اجتماعية,حكم اعمال تزوير تفاصيل اقتصاد امريكيه عمر متحده سر مسءول مخبرا اذار تاريخ مبرا جريمت لملا باعاد حاسوب ثمين برايك 
6,الإقتصاد-علوم اجتماعية,اضراب طواقم رءيس موظف اعمال قرار مضرب شرك مطار اذار اتحاد مانشستر خطوط علوم اجور اسبوع صعود برايك بامك بعيد 
7,الإقتصاد-علوم اجتماعية,اضراب مطار جو خلاف بريطانيه اذار مقبولا اتحاد ثمن خطوط مانشستر اجور علوم عامل بامك ارتباك تيرنر شديد قضايا محل 
8,الإقتصاد-علوم اجتماعية,قضاء حديد شرك صين مواطن اقتصاد خارج بيليت مسءول رءيس استرال اعمال محكم غت كرش معدن حكم اثار محاكم اقالتهم 
9,الإقتصاد-علوم اجتماعية,شرك صين متهم احكام خارج مءسف بي بيليت رءيس الاثن اعمال بحصولهم ضخما اجراء اوسط قبض دول   يو ماض 
10,الإقتصاد-علوم اجتماعية,جديد شرك دعم سداد كامل مال داءن مستحق نخيل مفاوض دي مجموع مء صندوق مقترح امار حكوم اعمال باقرب اختصارا 
11,الإقتصاد-علوم اجتماعية,دي اسواق اتحاد مساعد صندوق دول اعمال مال اذار وتمثل قاءلا اخر اجمال عالم صارم بروكسل سعر قدر عملتنا صرف 
12,الإقتصاد-علوم اجتماعية,دول اسواق اخر دي مساعد يون اوروب اعمال اقتصاد فاينانشيال وتمثل تسء جميعا عمل تحديث اقناع توصل بصفق ارتفاعا مقبول 
13,الإقتصاد-علوم اجتماعية,تفاصيل سجن امريك متهم حكم انظم بنك متحده مخبرا لملا سيار راديو اخر جونزاليس بارسال روس برايك ثمين سرق عمر 
14,الإقتصاد-علوم اجتماعية,حكم اعمال تزوير تفاصيل اقتصاد امريكيه عمر متحده سر مسءول مخبرا اذار تاريخ مبرا جريمت لملا باعاد حاسوب ثمين برايك 
15,الإقتصاد-علوم اجتماعية,اضراب طواقم رءيس موظف اعمال قرار مضرب شرك مطار اذار اتحاد مانشستر خطوط علوم اجور اسبوع صعود برايك بامك بعيد 
16,الإقتصاد-علوم اجتماعية,اضراب مطار جو خلاف بريطانيه اذار مقبولا اتحاد ثمن خطوط مانشستر اجور علوم عامل بامك ارتباك تيرنر شديد قضايا محل 
17,الإقتصاد-علوم اجتماعية,قضاء حديد شرك صين مواطن اقتصاد خارج بيليت مسءول رءيس استرال اعمال محكم غت كرش معدن حكم اثار محاكم اقالتهم 
18,الإقتصاد-علوم اجتماعية,شرك صين متهم احكام خارج مءسف بي بيليت رءيس الاثن اعمال بحصولهم ضخما اجراء اوسط قبض دول   يو ماض 
19,الإقتصاد-علوم اجتماعية,حكوم عالم دول اقتصاد فاءد سوق حال قروض مرتفع ستقدم ماض جفاف اذار اقراض جورج برايك علوم خانق جديد ماليا 
20,الإقتصاد-علوم اجتماعية,حكوم عالم رءيس اقتصاد قروض سوق مرتفع دول اثينا دي ماليا   تقارير جورج شبك برايك فاءد المان بمستو صندوق 
21,الإقتصاد-علوم اجتماعية,اسعار ارتفاع سعر عمل برميل شراء رءيس بنسب عالم اكبر ديزل شهر تجار متج حاجز بنوك خفيف مء تحديث برنت 
22,الإقتصاد-علوم اجتماعية,ارتفاع عمل ربع اسعار اقتصاد خام اعمال مخز سعر برميل معهد ماض بنز تجاوز لندن دورا زيت عالم   اسابيع 
23,الإقتصاد-علوم اجتماعية,تقدير زياد اعمال ارقام ناتج اقتصاد بالنسب مكتب تعاف رءيس جار دفع اسرع ماض اجمال بطيءا سيك انشاء مقدرا ءم 
24,الإقتصاد-علوم اجتماعية,زياد مكتب اكبر تعديل بالنسب   ارقام اس برايك ارشر بناء اعمال تحديث اجمالا زراع اقتصاد ليصل خدم محل بريطان 
25,الإقتصاد-علوم اجتماعية,تحقيق سيار اعمال ناسا سرع طريق رءيس بخبراء اخر مصم بشراء لتويوتا علوم اختبار شرق ادمغه تويوتا صناع امريك نطاق 
26,الإقتصاد-علوم اجتماعية,تحقيق اخر ناسا شرك علام تويوتا رءيس اختبار سلام اكاديم مستهلك لمعرف سيار فضاء سرع لوزير متح منوع اجه برايك 
27,الإقتصاد-علوم اجتماعية,  تراجع خفض رسوم مدمر خطوط جو اسعار بمقدار ماء مفعول فقا سابق تباطء دولارا وقت اوروب ارتفاع ناقل فسيبلغ 
28,الإقتصاد-علوم اجتماعية,ركود معدل عمل مديون معهد تاثير نمو اقتصاد تقرير   دول وضع وشك سيقفز شتوي باحث تقلص توظيف اسبوع قياس 
29,الإقتصاد-علوم اجتماعية,  استثمار حساب فتر عرض ركود اقتصاد انخفاض مستو امد اجمال كبير دول امداد تقرير نمو مد شديد سنو معدل 
30,الإقتصاد-علوم اجتماعية,اقتصاد امريك تراجع ربع مساكن معدل لقطاع قيم بطال عقار مال لاستعاد تسارع بهذ مطلع انباء تقرير تفقد   كثير 
31,الإقتصاد-علوم اجتماعية,ديمقراط مصانع ازم مبلغ عمل شهر انقاذ مال انتاج عمال قابل ربع مجلس موعد خيار مسال هار وزير طرف افق 
32,الإقتصاد-علوم اجتماعية,قطاع حزب شرك رءيس مصرف اتفاق دعم مبلغ عمل وزار ظاءف شيء مساءل رهن ناءب فقر انباء استماع مصنع حكوم 
33,الإقتصاد-علوم اجتماعية,  برميل انتاج قرار اوبك دول منظم اسعار نفط خفض زير بورص يوميا هر تراجع سعود قبيل طير حال مصدر 
34,الإقتصاد-علوم اجتماعية,  تراجع قرار بورص محروق برميل اسعار نيويورك سعر صغير نوفمبرتشر كبير ضغوط ماض ليستقر بنز عالمي قياد حال كساد 
35,الإقتصاد-علوم اجتماعية,مستهلك اسعار تدهور تاثير صين انخفاض اعوام دول اهم قياد اسواق مرجح زراء بلانش مءسات محروق تحذير احتمال وفق خليل 
36,الإقتصاد-علوم اجتماعية,مال مصرف جانب انقاذ مصارف قروض خط شرك معارض صرف لمساعد نصف فريد بوش خزين معركه احتساب اعضاء بتحويل سيندفع 
37,الإقتصاد-علوم اجتماعية,خليج دول نقد سياس اعداد كال مجلس طنب عالم برنامج عاصم عمل خاص انباء اخر اعمال سريع قم مشروع اجتماع 
38,الإقتصاد-علوم اجتماعية,  تراجع جديد قياس فاءد مجلس مءشرات عمل منتظرا احتياط مستثمر انتظار متحد صين فيدرال زراع ماض نظيرت فتر اميرك 
39,الإقتصاد-علوم اجتماعية,مجلس بترول قرار غاء داو حكوم اسباب كيهداو منتج رءيس مشروع اتفاق اجراء طرف اقل كال جدلا وكال اهم جود 
40,الإقتصاد-علوم اجتماعية,استثمار مصرف وساط ضحايا موظف رغم تجربت بكفال تخفيض منفصل اعمال ادانت احتيال جهاز ابوظب فيدرال لملف سند شركت مءس 
41,الإقتصاد-علوم اجتماعية,اقتصاد دول حكوم اوروب موحد ركود منظم بريطانيا تعليق قار بكفال اسوا زير كامبتر عديد مانيه اوروبا لسياس قم مرحل 
42,الإقتصاد-علوم اجتماعية,مشروع حصول عمل مصدر تراجع نواب تال اوضاعهما بوش جورج شهر حق حال موتورز حزب سيول فتر اشنطن حلول لد 
43,الإقتصاد-علوم اجتماعية,نقد سعر خبير اسهم استثمار قيم بيع اولءك حال اموال اسواق منزل عالم اقل سهم مسال بمزايا ماد ابدا استاذ 
44,الإقتصاد-علوم اجتماعية,ماض سيار خط حكوم سوق شرط بناء مصانع اغلاق اعمال عوامل مكاتب صور عبر شهور حما زلزال عالم غانسو عقاراتهم 
45,الإقتصاد-علوم اجتماعية,مال اقتصاد تعامل   مصرف نشاط صكوك حقيق حكوم ازم عقار بريطان تاثر خسار اصول مشاريع رغم جه عالم لحملت 
46,الإقتصاد-علوم اجتماعية,مصنع عمال اعتقال ابواب فعل ريبابليك حصول شرك اقل موظف منعطفا احتلال رءيس تعاقدهم ستقفل صحف اولءك فيدرال ردا ساقبل 
47,الإقتصاد-علوم اجتماعية,اكبر بوش ركود امريك عد مال شرك امريكا مدير مساعد افلاس خط بعقد جيد باقرار بيرينو قاء بالغ عملهم جنرال 
48,الإقتصاد-علوم اجتماعية,اقتصاد دول مساكن اسعار عقار امار مضارب منطق اسواق نمو نقد حال خليج سب نفط عرض ارتفاع صندوق صرف مال 
49,الإقتصاد-علوم اجتماعية,مصر معدل اسعار تراجع حكوم اساس وزير محل لفت اقراض تاثير اموال استثمارات بنظام سياس انخفاض وجود اجراء تضخم انباء 
50,الإقتصاد-علوم اجتماعية,مءشر تداول مال كويت اسهم اسواق ازم صناع اداء شرك قطاع خليج ربع بورص تراجعا ارهقهم عمل توال عقار قيم 
51,الإقتصاد-علوم اجتماعية,عجز انخفاض مال سعود ايراد اقتصاد قصيب ميزان دول زياد حكوم ميناء مكمل منظم رءيس كساد بي رياض فقا موازنت 
52,الإقتصاد-علوم اجتماعية,حكوم مال نفط دول عالم تقرير حجم اصول اقتصاد برميل عجز ماض اساس موازن ايراد تطور تراجع حدت صرف تغط 
53,الإقتصاد-علوم اجتماعية,مءشر سوق تراجع اسهم   تعامل كويت متعامل مال ليهبط ليصل اسبوع نصف ماء بحر نقطه خاسرا وسط عرب نقط 
54,الإقتصاد-علوم اجتماعية,مءشر سوق تداول اسهم بنك تقارير اعل مكاسب امار صناع   بيع صكوك سابك شرك قطاع نقاط حص مجموع سالم 
55,الإقتصاد-علوم اجتماعية,  امريك ارتفاع اءتلاف نفط اتحاد شرك نقل ثابت تشريع عمل لوقف مال باسواق دولارا متعامل نشر اسواق ادا حجم 
56,الإقتصاد-علوم اجتماعية,دول ملف قض نو خليج ظاهر مقبل اقتصاد مجلس صراع اداء عمل ستعتمد مشروع ماء مشكل كشف عزيز متوقع دراس 
57,الإقتصاد-علوم اجتماعية,مصرف شرك اقتصاد متعثر خط بيع ترل انقاذ مبلغ قيمت توسيع عمل تام امريك انته غا خفض بجانب فريد قسما 
58,الإقتصاد-علوم اجتماعية,اخر بيع اصول شراء مبسط عقار اقراض صف بفعل مصطلح امر سوق حال صناديق هلع تال بموجب حصول معقد عود 
59,الإقتصاد-علوم اجتماعية,استهلاك بواقع اسراءيل تراجع برميل مقبل ماد اندلاع شرق غز قراب تعامل عقار ادن توتر منطق دب حيو مضارب جديد 
60,الإقتصاد-علوم اجتماعية,مال اقتصاد منافس خط مصنع انتاج افلاس انقاذ انهيار خفض اثناء انفتاح ديترويت لدراس حكوم موتورز امواج سيفتح بتملك لخط 
61,الإقتصاد-علوم اجتماعية,نمو تحذير   تشغيل اسبوع اكبر تويوتا مرتفع خساءر كبير استهلاك سيار امريك خبراء اقتصاد متوقع تراجع انخفاض بعقد دفعت 
62,الإقتصاد-علوم اجتماعية,تداول مءشر ارتفاع قيم سوق بورص نسبت اسهم استثمار كويت قطاع سيسكو وف نقط مال قياد سوقا دب اصلت اتجا 
63,الإقتصاد-علوم اجتماعية,مجل محكم غوبير سابق   امار عرب ساحل ملاحقت مدير شرك فلوريدا نسخ لحكوم بواسطت متحد كجاسوس حراس احتيال غيابيا 
64,الإقتصاد-علوم اجتماعية,تاريخ اقتصاد مصرف اسوا ركود قطع ماض سنو مديون خفض بريطانيا حكوم بارتفاع بطال قو انكماش تصد انشط حفاظ اطلاق 
65,الإقتصاد-علوم اجتماعية,  نظام مال اجراء كبير عالم اصلاح بناء اقتصاد وقت بوت صين امريك انباء سوق دافوس خاص رهيبه تقارير نفط 
66,الإقتصاد-علوم اجتماعية,جديد اقتصاد معظم تصور خبير تكنولوجيا سرع قطاع حال مال محمول صناع مسب قيم استثمار كمبيوتر اسباب بوت اعدادا خبراء 
67,الإقتصاد-علوم اجتماعية,اقتصاد عامل بريتيش بريطان عمل قرار ازم موظف مسبوق رواتب تراجع بريطانيا حقب اتحاد سياق ابرز ثور تجميد ايرويز بصد 
68,الإقتصاد-علوم اجتماعية,شرك خساءر تراجع ايرويز   حال ارتفاع اقتصاد موظف عاءد نفق سعر كساده فاءت بيع عزت قيم تنفيذ سويد خروج 
69,الإقتصاد-علوم اجتماعية,  افلاس عمل اقتصاد مصرف عقار لج كهرباء صناع بيع تاريخ تام ازم ترتيب جديد حال براذرز كرايزلر عالم قطاع 
70,الإقتصاد-علوم اجتماعية,  مال باركليز ايبيك تحويل قيم تقرير قطر ابوظب بنسا صندوق قطاع اشهر قبول مقر تحقيق مصرف اسثتمر تنفيذ ازاء 
